Time,SoC
-1,357
-1,357.2
-1,358.1
-1,357.55
-1,358.7
-1,358.5
-1,355.9
-1,356.6
-1,356.65
-1,356.45
-1,356.6
-1,356.6
-1,355.75
-1,355.05
-1,357.9
-1,356.1
-1,355.7
-1,355.65
-1,356.2
-1,355.6
-1,356
-1,352.5
-1,356.4
-1,355.7
-1,351.2
-1,355.25
-1,355.7
-1,353.45
-1,355.3
-1,355.6
-1,355.25
-1,355.5
-1,355.4
-1,355.3
-1,353.45
-1,355.7
-1,350.55
-1,357.05
-1,353.2
-1,354.75
-1,351.2
-1,357.3
-1,351
-1,351.2
-1,356.3
-1,356.1
-1,353.5
-1,349.2
-1,353.7
-1,352.6
-1,356.1
-1,354.7
-1,354.15
-1,353.05
-1,351.7
-1,350.5
-1,351.65
-1,353.5
-1,352.8
-1,354.95
-1,354.25
-1,354.05
-1,353.9
-1,354.25
-1,352.8
-1,353.4
-1,354.05
-1,354.1
-1,353.95
-1,353.8
-1,355
-1,353.9
-1,354.1
-1,354.1
-1,353.95
-1,354.1
-1,354.15
-1,354
-1,353.95
-1,349.5
-1,350.65
-1,350.85
-1,351.15
-1,355.5
-1,353.65
-1,353.6
-1,353.45
-1,353.55
-1,352.4
-1,351.6
-1,350.95
-1,351.05
-1,351.85
-1,353.45
-1,352.7
-1,353.35
-1,352.9
-1,353.5
-1,353.7
-1,353.15
-1,352.8
-1,352.05
-1,350.6
-1,352.6
-1,354
-1,353
-1,350.7
-1,354.65
-1,353
-1,352.85
-1,353
-1,352.85
-1,352.85
-1,352.25
-1,348.6
-1,355.45
-1,353.15
-1,352.9
-1,347.45
-1,350.45
-1,354.55
-1,355.6
-1,345.45
-1,347.2
-1,349.95
-1,352.1
-1,350.3
-1,353.5
-1,352
-1,352.1
-1,352.1
-1,351.9
-1,352.1
-1,352.05
-1,351.75
-1,351.6
-1,351.85
-1,351.8
-1,352
-1,352
-1,351.8
-1,352
-1,351.85
-1,351.8
-1,350.3
-1,345.7
-1,350.1
-1,350.3
-1,348.55
-1,352.2
-1,352
-1,351.4
-1,351.2
-1,351.4
-1,351.25
-1,349.95
-1,349.7
-1,352.65
-1,350
-1,347.95
-1,352.85
-1,349.55
-1,350.55
-1,349.15
-1,351.3
-1,350.5
-1,349.3
-1,349.9
-1,349.2
-1,350.15
-1,350.35
-1,350.6
-1,350.5
-1,350.7
-1,351.2
-1,351.05
-1,350.75
-1,350.8
-1,351.4
-1,350.55
-1,348.85
-1,351
-1,350.65
-1,347.35
-1,350.3
-1,350.4
-1,348.65
-1,347.45
-1,349.5
-1,349.6
-1,349.7
-1,349.9
-1,349.95
-1,349.8
-1,350
-1,349.8
-1,349.8
-1,350
-1,349.9
-1,349.75
-1,349.9
-1,349.7
-1,349.7
-1,349.9
-1,349.7
-1,349.7
-1,349.8
-1,349.6
-1,349.75
-1,349.8
-1,349.55
-1,349.7
-1,349.7
-1,349.5
-1,349.85
-1,349.7
-1,348.85
-1,349.6
-1,349.6
-1,349.55
-1,348.45
-1,349.85
-1,348.8
-1,349.4
-1,349.45
-1,349.4
-1,349.25
-1,349.4
-1,349.4
-1,349.2
-1,344.2
-1,345.45
-1,347.6
-1,350.2
-1,348.7
-1,348.9
-1,348.5
-1,348.55
-1,347.8
-1,345.6
-1,348.25
