Time,SoC
-1,357.233
-1,356.081
-1,354.676
-1,354.443
-1,353.5
-1,353.062
-1,353.943
-1,352.843
-1,352.619
-1,352.8
-1,352.586
-1,351.033
-1,351.938
-1,350.976
-1,350.952
-1,350.157
-1,350.538
-1,349.595
-1,349.833
-1,349.762
-1,349.552
-1,348.771
-1,348.024
-1,348.005
-1,348.238
-1,346.714
-1,347.833
-1,347.11
-1,346.362
-1,344.571
-1,342.5
-1,337.476
-1,338.905
-1,340.262
-1,341.348
-1,340.69
-1,337.562
-1,336.805
-1,336.886
-1,336.952
-1,336.633
-1,336.89
-1,336.324
-1,335.69
-1,334.638
-1,332.595
-1,333.967
-1,334.605
-1,334.567
-1,334.633
-1,334.51
-1,334.405
-1,333.295
-1,331.562
-1,332.3
-1,330.714
-1,329.081
-1,328.986
-1,329.805
-1,328.981
-1,327.614
-1,328.371
-1,328.438
-1,328.333
-1,328.729
-1,327.79
-1,328.029
-1,327.971
-1,332.195
-1,345.652
-1,344.39
-1,344.724
-1,344.552
-1,343.871
-1,342.533
-1,341.538
-1,338.638
-1,336.776
-1,335.829
-1,337.048
-1,336.767
-1,336.976
-1,336.79
-1,336.638
-1,336.071
-1,334.795
-1,333.6
-1,333.257
-1,331.857
-1,332.138
-1,332.743
-1,332.814
-1,332.514
-1,332.105
-1,332.257
-1,331.681
-1,335.681
-1,374.395
-1,374.386
-1,373.662
-1,373.467
-1,371.586
-1,372.505
-1,372.176
-1,371.69
-1,371.276
-1,371.671
-1,369.824
-1,368.89
-1,370.338
-1,369.919
-1,369.19
-1,368.429
-1,365.757
-1,364.276
-1,363.567
-1,364.381
-1,364.505
-1,362.519
-1,363.667
-1,363.895
-1,362.962
-1,362.581
-1,361.395
-1,358.4
-1,356.681
-1,355.314
-1,355.252
-1,355.038
-1,355.729
-1,356.824
-1,356.895
-1,356.386
-1,356.257
-1,355.438
-1,355.624
-1,354.705
-1,353.771
-1,353.319
-1,353.643
-1,353.143
-1,351.767
-1,352.852
-1,351.567
-1,352.186
-1,351.452
-1,351.671
-1,350.767
-1,350.629
-1,350.39
-1,350.305
-1,349.481
-1,349.3
-1,349.086
-1,349.519
-1,349.2
-1,348.281
-1,348.214
-1,348.562
-1,348.595
-1,348.524
-1,348.043
-1,347.49
-1,347.514
-1,347.186
-1,346.705
-1,344.914
-1,343.4
-1,341.129
-1,340.681
-1,339.638
-1,339.048
-1,339.119
-1,339.929
-1,339.795
-1,339.795
-1,337.938
-1,338.343
-1,337.4
-1,336.881
-1,336.638
-1,336.195
-1,335.705
-1,335.686
-1,333.748
-1,332.505
-1,332.924
-1,333.643
-1,332.981
-1,332.99
-1,332.719
-1,332.081
-1,332.381
-1,332.362
-1,331.271
-1,328.505
-1,328.976
-1,327.338
-1,327.238
-1,326.438
-1,326.538
-1,327.648
