Time,SoC
1.72853e+09,1.2
1.72893e+09,1.3
1.72893e+09,82.8
1.72893e+09,-27.8
1.72893e+09,99.3
1.72893e+09,-5
1.72893e+09,40.1
1.72893e+09,312.4
1.72893e+09,44.9
1.72893e+09,199
1.72893e+09,64.4
1.72893e+09,-15
1.72893e+09,31.4
1.72893e+09,122.3
1.72893e+09,192.5
1.72893e+09,6.9
1.72893e+09,11.6
1.72893e+09,142.2
1.72893e+09,126.6
1.72893e+09,-30.4
1.72893e+09,88.9
1.72893e+09,239.9
1.72893e+09,-38.7
1.72893e+09,29.5
1.72893e+09,273
1.72893e+09,-7.2
1.72893e+09,31.5
1.72893e+09,74.8
1.72893e+09,29.4
1.72893e+09,356.2
1.72893e+09,13.6
1.72893e+09,11.1
1.72893e+09,19.7
1.72893e+09,2.6
1.72893e+09,38.1
1.72893e+09,-0.1
1.72893e+09,202.3
1.72893e+09,37.5
1.72893e+09,47.9
1.72893e+09,13.8
1.72893e+09,13.5
1.72893e+09,2.4
1.72893e+09,2.5
1.72893e+09,36.7
1.72893e+09,43.8
1.72893e+09,85
1.72893e+09,93.5
1.72893e+09,16.6
1.72893e+09,30.3
1.72893e+09,-5.1
1.72893e+09,168
1.72893e+09,32.4
1.72893e+09,614.7
1.72893e+09,309.2
1.72893e+09,55
1.72893e+09,76.3
1.72893e+09,-183.1
1.72893e+09,301.2
1.72893e+09,-36
1.72893e+09,13
1.72893e+09,294.9
1.72893e+09,4.3
1.72893e+09,105.4
1.72893e+09,377.2
1.72893e+09,113.2
1.72893e+09,370.9
1.72893e+09,-156.1
1.72893e+09,26.7
1.72893e+09,136.9
1.72893e+09,303.4
1.72893e+09,90.8
1.72893e+09,111.2
1.72893e+09,323.4
1.72893e+09,55.9
1.72893e+09,317.7
1.72893e+09,84.7
1.72893e+09,-198.1
1.72893e+09,461.3
1.72893e+09,126.6
1.72893e+09,383.6
1.72893e+09,41.3
1.72893e+09,284.1
1.72893e+09,-13.7
1.72893e+09,-65.7
1.72893e+09,227
1.72893e+09,16
1.72893e+09,-134.6
1.72893e+09,56.3
1.72893e+09,416.5
1.72893e+09,237.9
1.72893e+09,-35.7
1.72893e+09,-20.1
1.72893e+09,17.1
1.72893e+09,86.1
1.72893e+09,-23
1.72893e+09,266.2
1.72893e+09,127.9
1.72893e+09,211.8
1.72893e+09,44.4
1.72893e+09,14.3
1.72893e+09,380.1
1.72893e+09,391.9
1.72893e+09,146.6
1.72893e+09,10.1
1.72893e+09,152.9
1.72893e+09,182.6
1.72893e+09,221.1
1.72893e+09,125.3
1.72893e+09,194.3
1.72893e+09,282.3
1.72893e+09,24.3
1.72893e+09,94.2
1.72893e+09,392.1
1.72893e+09,298.3
1.72893e+09,280.2
1.72893e+09,64.6
1.72893e+09,266.9
