Time,SoC
1.72853e+09,1.2
1.72861e+09,1.2
1.72861e+09,1.2
1.72893e+09,-27.8
1.72893e+09,312.4
1.72893e+09,-30.4
1.72893e+09,356.2
1.72893e+09,13.8
1.72893e+09,614.7
1.72893e+09,-183.1
1.72893e+09,303.4
1.72893e+09,-198.1
1.72893e+09,416.5
1.72893e+09,14.3
1.72893e+09,392.1
1.72893e+09,64.6
1.72893e+09,176
1.72893e+09,-409.2
1.72893e+09,260.9
1.72893e+09,399.5
1.72893e+09,-13.9
1.72893e+09,270.9
1.72893e+09,-103.8
1.72893e+09,220.2
1.72893e+09,5.8
1.72893e+09,395.2
1.72893e+09,-16.7
1.72893e+09,283.4
1.72893e+09,-287.2
1.72893e+09,375.6
1.72893e+09,-121.8
1.72893e+09,279.6
1.72893e+09,-138
1.72893e+09,174.5
1.72893e+09,468.3
1.72893e+09,8.4
1.72893e+09,386.6
1.72893e+09,-119.8
1.72893e+09,383.7
1.72893e+09,-23.9
1.72893e+09,299.3
1.72893e+09,494.5
1.72893e+09,9.5
1.72893e+09,-111.8
1.72893e+09,404.7
1.72893e+09,8.7
1.72893e+09,-271.7
1.72893e+09,412.2
1.72893e+09,-97.1
1.72893e+09,363.1
1.72893e+09,15.7
1.72893e+09,344.9
1.72893e+09,-56
1.72893e+09,290.7
1.72893e+09,1.8
1.72893e+09,171.1
1.72893e+09,-94.3
1.72893e+09,419
1.72893e+09,13.4
1.72893e+09,149.4
1.72893e+09,-37.8
1.72893e+09,1.4
1.72893e+09,0.1
1.72893e+09,315.1
1.72893e+09,-263.5
1.72893e+09,245.6
1.72893e+09,-19.1
1.72893e+09,422.2
1.72893e+09,-110.2
1.72893e+09,337.8
1.72893e+09,-69
1.72893e+09,378
1.72893e+09,-52.3
1.72893e+09,418.6
1.72893e+09,-99.4
1.72893e+09,361.9
1.72893e+09,-17.8
1.72893e+09,373.1
1.72893e+09,-159.6
1.72893e+09,415.7
1.72893e+09,-208.7
1.72893e+09,201.3
1.72893e+09,551.5
1.72893e+09,-128.6
1.72893e+09,390.1
1.72893e+09,-204.2
1.72893e+09,374.2
1.72893e+09,-284.8
1.72893e+09,387.5
1.72893e+09,-226
1.72893e+09,351.8
1.72893e+09,-160
1.72893e+09,422.8
1.72893e+09,-213.8
1.72893e+09,336.4
1.72893e+09,485
1.72893e+09,-5.6
1.72893e+09,700.6
1.72893e+09,-42
1.72893e+09,415.3
1.72893e+09,-118.2
1.72893e+09,491.6
1.72893e+09,-120.1
1.72893e+09,392.7
1.72893e+09,-97.7
1.72893e+09,445.6
1.72893e+09,-302.1
1.72893e+09,408.7
1.72893e+09,-145.3
1.72893e+09,249.3
1.72893e+09,-6.7
1.72894e+09,-322.4
1.72894e+09,361.4
1.72894e+09,8.8
1.72894e+09,1.8
1.72894e+09,392.1
1.72894e+09,2
1.72894e+09,256.7
1.72894e+09,-92
1.72894e+09,185.1
1.72894e+09,-2.6
1.72894e+09,307.6
1.72895e+09,-70.3
1.72895e+09,257.7
1.72895e+09,9.5
1.72895e+09,193.8
1.72895e+09,2.7
1.72895e+09,159.6
1.72895e+09,-17.8
1.72895e+09,177.4
1.72895e+09,-23.7
1.72895e+09,366.3
1.72895e+09,15
1.72895e+09,269.2
1.72895e+09,44.6
1.72895e+09,360.8
1.72895e+09,47.9
1.72895e+09,-105.1
1.72895e+09,271.8
1.72895e+09,-183.7
1.72895e+09,332.5
1.72895e+09,-156.3
1.72895e+09,272.1
1.72895e+09,-122
1.72895e+09,-143.8
1.72895e+09,370.7
1.72895e+09,-29
1.72895e+09,384.7
1.72895e+09,-63.1
1.72895e+09,296
1.72895e+09,-6.5
1.72895e+09,203.6
1.72895e+09,391.1
1.72895e+09,-13.5
1.72895e+09,110.8
1.72895e+09,431.6
1.72895e+09,2.1
1.72895e+09,231.7
1.72895e+09,365.3
1.72895e+09,15.6
1.72895e+09,358.4
1.72895e+09,28.2
1.72895e+09,202.5
1.72895e+09,362.6
1.72895e+09,-67.6
1.72895e+09,1
1.72895e+09,155.8
1.72912e+09,1
1.72912e+09,1.4
1.72912e+09,1.1
1.72912e+09,1
1.72912e+09,1.5
1.72912e+09,1.2
1.72912e+09,1.5
1.72912e+09,1
1.72912e+09,1.3
1.72912e+09,1.5
1.72912e+09,0.9
1.72912e+09,1.6
1.72912e+09,1
1.72912e+09,1.5
1.72912e+09,1.1
1.72912e+09,1.4
1.72912e+09,1.1
1.72912e+09,1
1.72912e+09,1.5
1.72912e+09,0.9
1.72912e+09,1.4
1.72912e+09,1.1
1.72913e+09,0.5
1.72913e+09,144.3
1.72914e+09,3.3
1.72918e+09,-2.9
1.72918e+09,167.5
1.72918e+09,0.9
1.72918e+09,156.8
1.72918e+09,1.1
1.72918e+09,0.6
1.72918e+09,0.8
1.72918e+09,132.1
1.72919e+09,-6.4
1.72919e+09,0.5
1.72919e+09,0.4
1.72919e+09,0.9
1.72919e+09,0.6
1.72919e+09,0.9
1.72919e+09,0.5
1.72919e+09,1.1
1.72919e+09,0.4
1.72919e+09,0.9
1.72919e+09,0.4
1.72919e+09,0.6
1.72919e+09,91.2
1.72919e+09,0.7
1.72919e+09,103.6
1.72919e+09,115.7
1.72919e+09,0.6
1.72919e+09,0.6
1.72919e+09,1.1
1.72919e+09,1.3
1.72919e+09,0.6
1.72919e+09,1
1.72919e+09,0.6
1.72919e+09,0.9
1.72919e+09,0.5
1.72919e+09,0.9
1.72919e+09,0.5
1.72919e+09,0.8
1.72919e+09,78.1
1.72919e+09,1.1
1.7292e+09,1
1.7292e+09,1
1.72921e+09,1
1.72921e+09,270.4
1.72921e+09,1
1.72921e+09,84.6
1.72921e+09,1
1.72921e+09,1.5
1.72921e+09,0.8
1.72921e+09,1.2
1.72921e+09,0.7
1.72921e+09,1.2
1.72921e+09,0.8
1.72921e+09,1.1
1.72921e+09,108.9
1.72921e+09,2.5
1.72921e+09,72.6
1.72921e+09,2.3
1.72921e+09,100.7
1.72921e+09,138.9
1.72921e+09,11.6
1.72921e+09,2.5
1.72921e+09,3.1
1.72921e+09,2.4
1.72921e+09,2.3
1.72921e+09,39.4
1.72921e+09,107.3
1.72921e+09,1.3
1.72921e+09,71.5
1.72921e+09,-14.8
1.72921e+09,170.6
1.72922e+09,1.1
1.72922e+09,1
1.72922e+09,121.9
1.72922e+09,11.2
1.72922e+09,0.7
1.72922e+09,1
1.72922e+09,83.7
1.72922e+09,11.6
1.72922e+09,1
1.72922e+09,0.7
1.72922e+09,1.1
1.72922e+09,0.4
1.72922e+09,1.1
1.72922e+09,0.8
1.72922e+09,0.7
1.72922e+09,80.5
1.72922e+09,13.2
1.72922e+09,0.8
1.72922e+09,0.9
1.72922e+09,62.2
1.72922e+09,11.9
1.72922e+09,2.7
1.72922e+09,1.9
1.72922e+09,2.4
1.72922e+09,0.9
1.72922e+09,1.5
1.72922e+09,0.9
1.72922e+09,1.4
1.72922e+09,1
1.72922e+09,1.6
1.72922e+09,1.1
1.72922e+09,1.5
1.72922e+09,1.1
1.72922e+09,1.6
1.72922e+09,0.9
1.72922e+09,1.3
1.72922e+09,0.9
1.72922e+09,1.4
1.72922e+09,1.5
1.72922e+09,0.9
1.72922e+09,1.5
1.72922e+09,0.8
1.72922e+09,1.2
1.72922e+09,0.9
1.72922e+09,1.1
1.72922e+09,98.8
1.72922e+09,1.3
