Time,SoC
1.72771e+09,80.5
1.72771e+09,80
1.72771e+09,80
1.72771e+09,79.5
1.72771e+09,79.5
1.72771e+09,78.5
1.72771e+09,78
1.72771e+09,78
1.72771e+09,77.5
1.72771e+09,77
1.72771e+09,77
1.72771e+09,76.5
1.72771e+09,75.5
1.72771e+09,75.5
1.72771e+09,75
1.72771e+09,75
1.72771e+09,74.5
1.72771e+09,74
1.72773e+09,74
1.72773e+09,73.5
1.72773e+09,73
1.72773e+09,73
1.72773e+09,72.5
1.72773e+09,72
1.72773e+09,72
1.72773e+09,71.5
1.72773e+09,71.5
1.72774e+09,71
1.72774e+09,70.5
1.72774e+09,70.5
1.72774e+09,69.5
1.72774e+09,67
1.72774e+09,67
1.72774e+09,65.5
1.72774e+09,65.5
1.72774e+09,65
1.72774e+09,65
1.72774e+09,63.5
1.72774e+09,63
1.72774e+09,62
1.72774e+09,62
1.72774e+09,61
1.72774e+09,61
1.72774e+09,60
1.72774e+09,59.5
1.72774e+09,58
1.72774e+09,57.5
1.72774e+09,57.5
1.72774e+09,57.5
1.72774e+09,57.5
1.72774e+09,57
1.72774e+09,57
1.72774e+09,57
1.72774e+09,55.5
1.72774e+09,55.5
1.72774e+09,54.5
1.72774e+09,53
1.72774e+09,51.5
1.72774e+09,51.5
1.72774e+09,50
1.72774e+09,49.5
1.72775e+09,49.5
1.72775e+09,48.5
1.72775e+09,48.5
1.72775e+09,48.5
1.72775e+09,48
1.72775e+09,48
1.72775e+09,47
1.72775e+09,63
1.72775e+09,63
1.72775e+09,62.5
1.72775e+09,62.5
1.72775e+09,62.5
1.72775e+09,62
1.72775e+09,62
1.72775e+09,61
1.72775e+09,60.5
1.72775e+09,58.5
1.72775e+09,58.5
1.72775e+09,58
1.72775e+09,58
1.72775e+09,57.5
1.72776e+09,57.5
1.72776e+09,57
1.72776e+09,57
1.72776e+09,55.5
1.72776e+09,55.5
1.72776e+09,54
1.72776e+09,53.5
1.72776e+09,53.5
1.72776e+09,53
1.72776e+09,53
1.72776e+09,52.5
1.72776e+09,52.5
1.72776e+09,52
1.7278e+09,96.5
1.7278e+09,96.5
1.7278e+09,96.5
1.7278e+09,95.5
1.7278e+09,96
1.7278e+09,95
1.7278e+09,95.5
1.7278e+09,94.5
1.7278e+09,94.5
1.7278e+09,94.5
1.7278e+09,93.5
1.7278e+09,93.5
1.7278e+09,93
1.7278e+09,92.5
1.72785e+09,92
1.72785e+09,92
1.72785e+09,90.5
1.72785e+09,90.5
1.72786e+09,89
1.72786e+09,88
1.72786e+09,88
1.72786e+09,87.5
1.72786e+09,87
1.72786e+09,87
1.72786e+09,85.5
1.72786e+09,86
1.72786e+09,86
1.72786e+09,84.5
1.72786e+09,82.5
1.72786e+09,82.5
1.72787e+09,80.5
1.72787e+09,80.5
1.72787e+09,80
1.72787e+09,80
1.72787e+09,80
1.72787e+09,79.5
1.72788e+09,79.5
1.72788e+09,79.5
1.72788e+09,79
1.72789e+09,79
