Time,SoC
1.72805e+09,223.6
1.72805e+09,-80
1.72805e+09,-4.4
1.72805e+09,130
1.72805e+09,186.4
1.72805e+09,-20
1.72805e+09,-9.2
1.72805e+09,131.2
1.72806e+09,-0.8
1.72806e+09,168.4
1.72806e+09,168.4
1.72806e+09,-2
1.72806e+09,-9.2
1.72806e+09,132.4
1.72806e+09,-12.8
1.72806e+09,168.4
1.72806e+09,168.4
1.72806e+09,7.6
1.72806e+09,12.4
1.72806e+09,35.2
1.72806e+09,94
1.72806e+09,4
1.72806e+09,168.4
1.72806e+09,7.6
1.72806e+09,-3.2
1.72806e+09,168.4
1.72806e+09,13.6
1.72807e+09,24.4
1.72807e+09,168.4
1.72807e+09,-3.2
1.72807e+09,139.6
1.72807e+09,1.6
1.72807e+09,168.4
1.72808e+09,4
1.72808e+09,168.4
1.72809e+09,2.8
1.72809e+09,91.6
1.72809e+09,8.8
1.72809e+09,10
1.72809e+09,181.6
1.72809e+09,151.6
1.72809e+09,-4.4
1.72809e+09,7.6
1.72809e+09,133.6
1.72809e+09,221.2
1.72809e+09,0.4
1.72809e+09,134.8
1.72809e+09,11.2
1.72809e+09,168.4
1.72809e+09,-12.8
1.72809e+09,-12.8
1.72809e+09,-24.8
1.72809e+09,-24.8
1.72809e+09,-29.6
1.72809e+09,-29.6
1.72809e+09,-33.2
1.72809e+09,-32
1.72809e+09,-36.8
1.72809e+09,-35.6
1.72809e+09,-40.4
1.72809e+09,-41.6
1.72809e+09,168.4
1.72823e+09,1.6
1.72823e+09,122.8
1.72823e+09,122.8
1.72823e+09,-2
1.72823e+09,161.2
1.72823e+09,14.8
1.72823e+09,10
1.72823e+09,194.8
1.72823e+09,168.4
1.72823e+09,8.8
1.72823e+09,6.4
1.72823e+09,156.4
1.72823e+09,43.6
1.72823e+09,110.8
1.72823e+09,24.4
1.72823e+09,133.6
1.72823e+09,182.8
1.72824e+09,24.4
1.72824e+09,31.6
1.72824e+09,154
1.72824e+09,203.2
1.72824e+09,-71.6
1.72824e+09,173.2
1.72824e+09,31.6
1.72824e+09,108.4
1.72824e+09,48.4
1.72824e+09,48.4
1.72824e+09,197.2
1.72824e+09,168.4
1.72825e+09,52
1.72825e+09,151.6
1.72825e+09,55.6
1.72825e+09,-56
1.72825e+09,176.8
1.72826e+09,-64.4
1.72826e+09,220
1.72826e+09,44.8
1.72826e+09,167.2
1.72826e+09,168.4
1.72826e+09,62.8
1.72826e+09,197.2
1.72826e+09,-54.8
1.72826e+09,186.4
1.72826e+09,47.2
1.72826e+09,168.4
1.72826e+09,55.6
1.72826e+09,209.2
1.72826e+09,40
1.72826e+09,187.6
1.72826e+09,44.8
1.72827e+09,49.6
1.72827e+09,200.8
1.72827e+09,-64.4
1.72827e+09,192.4
1.72827e+09,119.2
1.72827e+09,76
1.72827e+09,76
1.72827e+09,71.2
1.72827e+09,168.4
1.72827e+09,66.4
1.72827e+09,168.4
1.72827e+09,62.8
1.72827e+09,68.8
1.72827e+09,70
1.72827e+09,67.6
1.72827e+09,70
1.72827e+09,66.4
1.72827e+09,68.8
1.72827e+09,68.8
1.72827e+09,66.4
1.72827e+09,66.4
1.72827e+09,146.8
1.72827e+09,205.6
1.72827e+09,-77.6
1.72827e+09,181.6
1.72827e+09,-71.6
1.72827e+09,185.2
1.72827e+09,60.4
1.72827e+09,60.4
1.72827e+09,37.6
1.72827e+09,37.6
1.72827e+09,24.4
1.72827e+09,24.4
1.72827e+09,14.8
1.72827e+09,14.8
1.72827e+09,7.6
1.72827e+09,6.4
1.72827e+09,2.8
1.72827e+09,2.8
1.72827e+09,0.4
1.72827e+09,1.6
1.72827e+09,-0.8
1.72828e+09,0.4
1.72828e+09,-0.8
1.72828e+09,-0.8
1.72828e+09,-2
1.72828e+09,-0.8
1.72828e+09,-2
1.72828e+09,-2
1.72828e+09,-0.8
1.72828e+09,-2
1.72828e+09,-2
1.72828e+09,-2
1.72828e+09,-3.2
1.72828e+09,-2
1.72828e+09,-3.2
1.72828e+09,-2
1.72828e+09,-4.4
1.72828e+09,-3.2
1.72828e+09,-4.4
1.72828e+09,-4.4
1.72828e+09,-5.6
1.72828e+09,-5.6
1.72828e+09,-6.8
1.72828e+09,-6.8
1.72828e+09,-8
1.72828e+09,-8
1.72828e+09,-9.2
1.72828e+09,-9.2
1.72828e+09,-11.6
1.72828e+09,-10.4
1.72828e+09,-12.8
1.72828e+09,-12.8
1.72828e+09,-15.2
1.72828e+09,-15.2
1.72828e+09,-18.8
1.72828e+09,-18.8
1.72828e+09,-23.6
1.72828e+09,-23.6
1.72828e+09,-30.8
1.72828e+09,-30.8
1.72828e+09,-39.2
1.72828e+09,-38
1.72828e+09,-44
1.72828e+09,-44
1.72828e+09,-46.4
1.72828e+09,-45.2
1.72828e+09,-47.6
1.72828e+09,-46.4
1.72828e+09,-47.6
1.72829e+09,-46.4
1.72829e+09,-47.6
1.72829e+09,-47.6
1.72829e+09,-46.4
1.72829e+09,-46.4
1.72829e+09,-47.6
1.72829e+09,-47.6
1.72829e+09,-46.4
1.72829e+09,-47.6
1.72829e+09,-48.8
1.72829e+09,-48.8
1.72829e+09,-47.6
1.72829e+09,-48.8
1.72829e+09,-47.6
1.72829e+09,-48.8
1.72829e+09,-50
1.72829e+09,-48.8
1.72829e+09,-50
1.72829e+09,-50
1.72829e+09,-51.2
1.72829e+09,-50
1.72829e+09,-51.2
1.72829e+09,-51.2
1.72829e+09,-52.4
1.72829e+09,-52.4
1.72829e+09,-51.2
1.72829e+09,-52.4
1.72829e+09,-53.6
1.72829e+09,-52.4
1.72829e+09,-54.8
1.72829e+09,-53.6
1.72829e+09,-54.8
1.72829e+09,-54.8
1.72829e+09,-56
1.72829e+09,-57.2
1.72829e+09,-56
1.72829e+09,-57.2
1.72829e+09,-59.6
1.72829e+09,-58.4
1.72829e+09,-60.8
1.72829e+09,-60.8
1.72829e+09,-63.2
1.72829e+09,-62
1.72829e+09,-65.6
1.72829e+09,-65.6
1.72829e+09,-69.2
1.72829e+09,-69.2
1.72829e+09,-75.2
1.7283e+09,-80
1.7283e+09,226
1.7283e+09,218.8
1.7283e+09,132.4
1.7283e+09,168.4
1.72834e+09,-36.8
1.72835e+09,-8
1.72835e+09,88
1.72835e+09,0.4
1.72835e+09,151.6
1.72835e+09,168.4
1.72835e+09,6.4
1.72835e+09,0.4
1.72835e+09,107.2
1.72835e+09,0.4
1.72835e+09,169.6
1.72835e+09,124
1.72835e+09,2.8
1.72835e+09,85.6
1.72835e+09,17.2
1.72835e+09,-3.2
1.72835e+09,192.4
1.72835e+09,192.4
1.72835e+09,-5.6
1.72835e+09,168.4
1.72835e+09,7.6
1.72835e+09,2.8
1.72835e+09,-22.4
1.72835e+09,-22.4
1.72835e+09,-30.8
1.72835e+09,-30.8
1.72836e+09,-36.8
1.72836e+09,-36.8
1.72836e+09,-40.4
1.72836e+09,-40.4
1.72836e+09,-44
1.72836e+09,-44
1.72836e+09,-46.4
1.72836e+09,-46.4
1.72836e+09,-45.2
1.72836e+09,-46.4
1.72836e+09,-46.4
1.72836e+09,-46.4
1.72836e+09,-45.2
1.72836e+09,-45.2
1.72836e+09,-47.6
1.72836e+09,-46.4
1.72836e+09,-47.6
1.72836e+09,-46.4
1.72836e+09,-48.8
1.72836e+09,-47.6
1.72836e+09,-48.8
1.72836e+09,-48.8
1.72836e+09,-50
1.72836e+09,-50
1.72836e+09,-51.2
1.72836e+09,-51.2
1.72836e+09,-52.4
1.72836e+09,-52.4
1.72836e+09,-53.6
1.72836e+09,-53.6
1.72836e+09,-54.8
1.72836e+09,-54.8
1.72836e+09,-57.2
1.72836e+09,-57.2
1.72836e+09,-59.6
1.72836e+09,-59.6
1.72836e+09,-63.2
1.72836e+09,-62
1.72836e+09,-68
1.72836e+09,-80
1.72836e+09,226
1.72836e+09,216.4
1.72837e+09,37.6
1.7284e+09,-65.6
1.7284e+09,188.8
1.7284e+09,-2
1.7284e+09,168.4
1.7284e+09,13.6
1.7284e+09,14.8
1.7284e+09,13.6
1.7284e+09,31.6
1.7284e+09,-2
1.7284e+09,76
1.72841e+09,114.4
1.72841e+09,12.4
1.72841e+09,0.4
1.72841e+09,89.2
1.72841e+09,67.6
1.72841e+09,-8
1.72841e+09,168.4
1.72841e+09,2.8
1.72841e+09,94
1.72841e+09,-9.2
1.72841e+09,-10.4
1.72841e+09,142
1.72841e+09,168.4
1.72842e+09,1.6
1.72842e+09,94
1.72842e+09,-10.4
1.72842e+09,126.4
1.72842e+09,-2
1.72842e+09,108.4
1.72842e+09,-16.4
1.72842e+09,11.2
1.72842e+09,168.4
1.72842e+09,168.4
1.72842e+09,4
1.72842e+09,10
1.72842e+09,168.4
1.72843e+09,103.6
1.72843e+09,2.8
1.72843e+09,7.6
1.72843e+09,82
1.72843e+09,1.6
1.72843e+09,98.8
1.72843e+09,20.8
1.72843e+09,168.4
1.72844e+09,103.6
1.72853e+09,-54.8
1.72853e+09,-54.8
1.72853e+09,-56
1.72853e+09,-56
1.72853e+09,-58.4
1.72853e+09,-58.4
1.72853e+09,-60.8
1.72853e+09,-60.8
1.72853e+09,-65.6
1.72853e+09,-65.6
1.72853e+09,-78.8
1.72853e+09,-80
1.72853e+09,226
1.72854e+09,42.4
1.72857e+09,-72.8
1.72857e+09,-23.6
1.72857e+09,168.4
1.72858e+09,8.8
1.72858e+09,58
1.72858e+09,-9.2
1.72858e+09,104.8
1.72858e+09,-16.4
1.72858e+09,113.2
1.72858e+09,80.8
1.72858e+09,-9.2
1.72858e+09,138.4
1.72858e+09,-12.8
1.72858e+09,-3.2
1.72858e+09,113.2
1.72858e+09,14.8
1.72858e+09,10
1.72858e+09,8.8
1.72858e+09,168.4
1.72859e+09,-14
1.72859e+09,113.2
1.72859e+09,86.8
1.72859e+09,-11.6
1.72859e+09,168.4
1.72859e+09,-22.4
1.72859e+09,10
1.72859e+09,97.6
1.72859e+09,40
1.72859e+09,18.4
1.72859e+09,168.4
1.72859e+09,6.4
1.72859e+09,4
1.72859e+09,96.4
1.72859e+09,168.4
1.72859e+09,11.2
1.72859e+09,14.8
1.72859e+09,168.4
1.7286e+09,104.8
1.7286e+09,2.8
1.7286e+09,10
1.7286e+09,86.8
1.7286e+09,98.8
1.72861e+09,6.4
1.72861e+09,168.4
1.72861e+09,5.2
1.72861e+09,17.2
1.72861e+09,164.8
1.72861e+09,127.6
1.72861e+09,-14
1.72861e+09,-2
1.72861e+09,122.8
1.72861e+09,168.4
1.72862e+09,8.8
1.72862e+09,-10.4
1.72862e+09,126.4
1.72862e+09,92.8
1.72862e+09,23.2
1.72862e+09,168.4
1.72862e+09,-18.8
1.72862e+09,-18.8
1.72862e+09,-30.8
1.72862e+09,-30.8
1.72862e+09,-34.4
1.72862e+09,-34.4
1.72862e+09,-38
1.72862e+09,-38
1.72862e+09,-41.6
1.72862e+09,-40.4
1.72862e+09,-44
1.72862e+09,-44
1.72862e+09,-47.6
1.72862e+09,-46.4
1.72862e+09,-48.8
1.72862e+09,-48.8
1.72862e+09,-47.6
1.72862e+09,-48.8
1.72862e+09,-47.6
1.72862e+09,-47.6
1.72862e+09,-48.8
1.72862e+09,-47.6
1.72862e+09,-48.8
1.72862e+09,-48.8
1.72862e+09,-47.6
1.72862e+09,-48.8
1.72862e+09,-50
1.72862e+09,-48.8
1.72862e+09,-51.2
1.72862e+09,-50
1.72862e+09,-52.4
1.72862e+09,-51.2
1.72862e+09,-53.6
1.72862e+09,-52.4
1.72862e+09,-54.8
1.72862e+09,-54.8
1.72862e+09,-56
1.72862e+09,-56
1.72862e+09,-58.4
1.72862e+09,-57.2
1.72863e+09,-60.8
1.72863e+09,-59.6
1.72863e+09,-63.2
1.72863e+09,-63.2
1.72863e+09,-70.4
1.72863e+09,-80
1.72863e+09,226
1.72863e+09,203.2
1.72866e+09,-69.2
1.72866e+09,-51.2
1.72866e+09,-4.4
1.72866e+09,-4.4
1.72866e+09,10
1.72866e+09,11.2
1.72866e+09,95.2
1.72866e+09,168.4
1.72866e+09,-9.2
1.72866e+09,125.2
1.72866e+09,-11.6
1.72866e+09,110.8
1.72866e+09,4
1.72866e+09,168.4
1.72867e+09,-8
1.72867e+09,97.6
1.72867e+09,1.6
1.72867e+09,168.4
1.72867e+09,1.6
1.72867e+09,168.4
1.72868e+09,1.6
1.72868e+09,13.6
1.72868e+09,46
1.72868e+09,20.8
1.72868e+09,80.8
1.72868e+09,8.8
1.72868e+09,85.6
1.72868e+09,168.4
1.72868e+09,5.2
1.72868e+09,-8
1.72868e+09,95.2
1.72868e+09,7.6
1.72868e+09,185.2
1.72868e+09,-4.4
1.72868e+09,80.8
1.72868e+09,8.8
1.72868e+09,74.8
1.72868e+09,168.4
1.72869e+09,1.6
1.72869e+09,-0.8
1.72869e+09,136
1.72869e+09,168.4
1.72869e+09,-23.6
1.72869e+09,-24.8
1.72869e+09,-36.8
1.72869e+09,-36.8
1.72869e+09,-44
1.72869e+09,-44
1.72869e+09,-50
1.72869e+09,-50
1.72869e+09,-52.4
1.72869e+09,-52.4
1.72869e+09,-53.6
1.72869e+09,-52.4
1.72869e+09,-51.2
1.72869e+09,-51.2
1.72869e+09,-53.6
1.72869e+09,-52.4
1.72869e+09,-54.8
1.72869e+09,-54.8
1.72869e+09,-57.2
1.72869e+09,-57.2
1.72869e+09,-60.8
1.72869e+09,-60.8
1.72869e+09,-68
1.72869e+09,-80
1.72869e+09,226
1.72869e+09,220
1.7287e+09,40
1.72872e+09,43.6
1.72883e+09,-53.6
1.72883e+09,-3.2
1.72883e+09,122.8
1.72883e+09,-4.4
1.72883e+09,154
1.72883e+09,-12.8
1.72883e+09,112
1.72883e+09,226
1.72883e+09,13.6
1.72883e+09,13.6
1.72883e+09,11.2
1.72883e+09,12.4
1.72883e+09,10
1.72883e+09,11.2
1.72883e+09,8.8
1.72883e+09,168.4
1.72884e+09,4
1.72884e+09,-15.2
1.72884e+09,197.2
1.72884e+09,-11.6
1.72884e+09,113.2
1.72884e+09,61.6
1.72884e+09,12.4
1.72884e+09,13.6
1.72884e+09,131.2
1.72884e+09,-12.8
1.72884e+09,89.2
1.72884e+09,7.6
1.72884e+09,168.4
1.72884e+09,11.2
1.72884e+09,18.4
1.72884e+09,-6.8
1.72884e+09,121.6
1.72884e+09,168.4
1.72884e+09,5.2
1.72884e+09,1.6
1.72884e+09,78.4
1.72884e+09,134.8
1.72884e+09,-14
1.72884e+09,60.4
1.72884e+09,20.8
1.72884e+09,168.4
1.72885e+09,6.4
1.72885e+09,8.8
1.72885e+09,134.8
1.72885e+09,222.4
1.72885e+09,-2
1.72885e+09,168.4
1.72885e+09,5.2
1.72885e+09,176.8
1.72885e+09,4
1.72885e+09,142
1.72885e+09,26.8
1.72886e+09,168.4
1.72886e+09,14.8
1.72886e+09,168.4
1.72886e+09,5.2
1.72886e+09,150.4
1.72886e+09,0.4
1.72886e+09,202
1.72886e+09,-65.6
1.72886e+09,140.8
1.72886e+09,18.4
1.72886e+09,168.4
1.72886e+09,19.6
1.72886e+09,2.8
1.72886e+09,209.2
1.72886e+09,0.4
1.72886e+09,163.6
1.72887e+09,204.4
1.72887e+09,31.6
1.72887e+09,206.8
1.72887e+09,40
1.72887e+09,226
1.72887e+09,34
1.72887e+09,30.4
1.72887e+09,175.6
1.72887e+09,-46.4
1.72887e+09,220
1.72887e+09,106
1.72887e+09,12.4
1.72887e+09,12.4
1.72887e+09,5.2
1.72887e+09,6.4
1.72887e+09,1.6
1.72887e+09,1.6
1.72887e+09,-3.2
1.72887e+09,-3.2
1.72887e+09,-8
1.72887e+09,-8
1.72887e+09,-14
1.72887e+09,-14
1.72887e+09,-22.4
1.72887e+09,-22.4
1.72887e+09,-33.2
1.72887e+09,-33.2
1.72887e+09,-42.8
1.72887e+09,-42.8
1.72887e+09,-47.6
1.72887e+09,-46.4
1.72887e+09,-48.8
1.72887e+09,-48.8
1.72887e+09,-47.6
1.72888e+09,-48.8
1.72888e+09,-47.6
1.72888e+09,-48.8
1.72888e+09,-47.6
1.72888e+09,-47.6
1.72888e+09,-48.8
1.72888e+09,-47.6
1.72888e+09,-48.8
1.72888e+09,-47.6
1.72888e+09,-48.8
1.72888e+09,-47.6
1.72888e+09,-50
1.72888e+09,-48.8
1.72888e+09,-50
1.72888e+09,-48.8
1.72888e+09,-50
1.72888e+09,-50
1.72888e+09,-51.2
1.72888e+09,-50
1.72888e+09,-51.2
1.72888e+09,-51.2
1.72888e+09,-52.4
1.72888e+09,-52.4
1.72888e+09,-53.6
1.72888e+09,-52.4
