Time,SoC
1.72805e+09,93.2615
1.72805e+09,36.3077
1.72805e+09,33.8615
1.72805e+09,58.8308
1.72805e+09,84.0769
1.72805e+09,74.5692
1.72805e+09,29.2
1.72805e+09,16.2308
1.72805e+09,15.6308
1.72806e+09,20.8923
1.72806e+09,27.0769
1.72806e+09,38.2462
1.72806e+09,65.3846
1.72806e+09,68.4769
1.72806e+09,56.2923
1.72806e+09,28
1.72806e+09,40.8308
1.72806e+09,48.3538
1.72806e+09,12.3538
1.72806e+09,17.5231
1.72806e+09,28.6923
1.72806e+09,29.0154
1.72806e+09,24.7231
1.72806e+09,29.9846
1.72806e+09,28.8769
1.72806e+09,41.2923
1.72806e+09,27.7692
1.72807e+09,17.2462
1.72807e+09,40.2769
1.72807e+09,30.2615
1.72807e+09,39.9538
1.72807e+09,39.5385
1.72807e+09,50.3385
1.72808e+09,22.4615
1.72808e+09,49.0923
1.72808e+09,62.2462
1.72809e+09,29.8
1.72809e+09,32.7538
1.72809e+09,25.5538
1.72809e+09,48.0308
1.72809e+09,82.7385
1.72809e+09,85.5077
1.72809e+09,68.2923
1.72809e+09,46.1385
1.72809e+09,29.7077
1.72809e+09,90.5846
1.72809e+09,106.692
1.72809e+09,66.6769
1.72809e+09,54.3077
1.72809e+09,55.2308
1.72809e+09,-5.92308
1.72809e+09,-17.5538
1.72809e+09,-23
1.72809e+09,-26.3231
1.72809e+09,-28.4
1.72809e+09,-30.2462
1.72809e+09,-31.6308
1.72809e+09,-33.4308
1.72809e+09,-34.9538
1.72809e+09,-36.7538
1.72809e+09,-38.5538
1.72809e+09,-19.8615
1.72811e+09,41.2462
1.72817e+09,42.7692
1.72822e+09,26.2462
1.72823e+09,53.7077
1.72823e+09,47.4769
1.72823e+09,87.0308
1.72823e+09,102.215
1.72823e+09,71.7077
1.72823e+09,69.3077
1.72823e+09,57.7231
1.72823e+09,38.4769
1.72823e+09,51.1231
1.72823e+09,78.6769
1.72823e+09,59.2923
1.72823e+09,61.0923
1.72823e+09,68.3846
