Time,SoC
1.72771e+09,80.381
1.72771e+09,80
1.72771e+09,79.5
1.72771e+09,79.1667
1.72771e+09,78.5714
1.72771e+09,78.119
1.72771e+09,78
1.72771e+09,77.7857
1.72771e+09,77.2619
1.72771e+09,76.9762
1.72771e+09,76.5714
1.72771e+09,76.0952
1.72771e+09,75.5476
1.72771e+09,75.4524
1.72771e+09,75
1.72771e+09,74.6429
1.72772e+09,74.2143
1.72773e+09,73.9286
1.72773e+09,73.5
1.72773e+09,73.381
1.72773e+09,73
1.72773e+09,72.9762
1.72773e+09,72.4286
1.72773e+09,72
1.72773e+09,72
1.72773e+09,71.5952
1.72773e+09,71.119
1.72773e+09,70.9286
1.72774e+09,70.5
1.72774e+09,69.9762
1.72774e+09,69.1429
1.72774e+09,67.619
1.72774e+09,66.4286
1.72774e+09,65.5714
1.72774e+09,65.4286
1.72774e+09,65
1.72774e+09,64.381
1.72774e+09,63.3571
1.72774e+09,62.7143
1.72774e+09,62
1.72774e+09,61.7381
1.72774e+09,61.0476
1.72774e+09,60.6667
1.72774e+09,60.2381
1.72774e+09,59.5238
1.72774e+09,58.4524
1.72774e+09,57.9524
1.72774e+09,57.5
1.72774e+09,57.5
1.72774e+09,57.5
1.72774e+09,57.3333
1.72774e+09,57
1.72774e+09,56.881
1.72774e+09,56.2857
1.72774e+09,55.5
1.72774e+09,54.5714
1.72774e+09,53.2619
1.72774e+09,52.1905
1.72774e+09,51.5
1.72774e+09,50.9762
1.72774e+09,49.7619
1.72775e+09,49.4048
1.72775e+09,48.9762
1.72775e+09,48.5
1.72775e+09,48.5
1.72775e+09,48.4048
1.72775e+09,48
1.72775e+09,47.6667
1.72775e+09,50.9524
1.72775e+09,63
1.72775e+09,63
1.72775e+09,62.6667
1.72775e+09,62.5
1.72775e+09,62.5
1.72775e+09,62.3571
1.72775e+09,61.9048
1.72775e+09,61.0476
1.72775e+09,59.9762
1.72775e+09,58.8333
1.72775e+09,58.4524
1.72775e+09,58.0714
1.72775e+09,58
1.72776e+09,57.5
1.72776e+09,57.5
1.72776e+09,57.0952
1.72776e+09,56.8571
1.72776e+09,56.0952
1.72776e+09,55.3333
1.72776e+09,54.6667
1.72776e+09,53.9048
1.72776e+09,53.5
1.72776e+09,53.4048
1.72776e+09,53
1.72776e+09,53
1.72776e+09,52.5
1.72776e+09,52.4762
1.72776e+09,56.2381
1.7278e+09,96.5
1.7278e+09,96.5
1.7278e+09,96.1429
1.7278e+09,95.881
1.7278e+09,95.4762
1.7278e+09,95.4286
1.7278e+09,94.9762
1.7278e+09,94.5
1.7278e+09,94.4048
1.7278e+09,94
1.7278e+09,93.6429
1.7278e+09,93.3095
1.7278e+09,92.9048
1.72781e+09,92.4286
1.72785e+09,92
1.72785e+09,91.8333
1.72785e+09,90.881
1.72785e+09,89.9524
1.72786e+09,88.9524
1.72786e+09,88.3333
1.72786e+09,88
1.72786e+09,87.5476
1.72786e+09,87.1429
1.72786e+09,87
1.72786e+09,86.2857
1.72786e+09,86
1.72786e+09,85.5714
1.72786e+09,84.5952
1.72786e+09,83.4286
1.72786e+09,82.1667
1.72787e+09,81.2857
1.72787e+09,80.5238
1.72787e+09,80.0238
1.72787e+09,80
1.72787e+09,80
1.72787e+09,80
1.72788e+09,79.5238
1.72788e+09,79.4286
1.72788e+09,79
1.72788e+09,79
1.72789e+09,78.6667
1.72789e+09,77.881
1.72789e+09,77.619
1.72789e+09,77.2619
1.72789e+09,76.7857
1.72789e+09,76.4286
1.72789e+09,76.0952
1.72789e+09,75.619
1.7279e+09,75.2381
1.72792e+09,75
1.72792e+09,74.5238
1.72792e+09,74.4524
1.72792e+09,74
1.72792e+09,73.9524
1.72792e+09,73.5
1.72792e+09,73.2143
1.72792e+09,73
1.72792e+09,72.6429
1.72792e+09,72.5
1.72792e+09,72.2381
1.72792e+09,72
1.72792e+09,71.7381
1.72792e+09,71.5
1.72792e+09,71.5
1.72792e+09,71.5
1.72792e+09,71.1667
1.72792e+09,71
1.72792e+09,70.6429
1.72793e+09,70.2619
1.72793e+09,69.6429
1.72793e+09,69.0238
1.72793e+09,67.9048
1.72793e+09,66.9524
1.72793e+09,65.9286
1.72793e+09,65.0952
1.72793e+09,64.5
1.72793e+09,64
1.72793e+09,63.7381
1.72793e+09,63.4524
1.72794e+09,62.7619
1.72794e+09,61.9524
1.72794e+09,61.2619
1.72794e+09,60.7857
1.72794e+09,60.1667
1.72795e+09,59.5952
1.72795e+09,59.2857
1.72795e+09,59
1.72795e+09,58.381
1.72795e+09,57.119
1.72795e+09,56.5
1.72795e+09,56.0476
1.72795e+09,55.881
1.72795e+09,55.2857
1.72795e+09,55.0952
1.72795e+09,54.7857
1.72795e+09,54.5
1.72795e+09,54.4524
1.72795e+09,53.881
1.72795e+09,52.9286
1.72795e+09,52.0952
1.72795e+09,50.8571
1.72795e+09,49.8095
1.72795e+09,48.9762
1.72795e+09,48.1429
1.72795e+09,47.7143
1.72795e+09,47.4286
1.72798e+09,47
1.72798e+09,46.5714
1.72798e+09,46.5
1.72798e+09,46.5
1.72798e+09,46.0952
1.72798e+09,45.7619
1.72798e+09,45.5
1.72798e+09,45.1905
1.72798e+09,45
1.72799e+09,44.5952
1.72799e+09,44.1429
1.72799e+09,43.1429
1.72799e+09,42.1905
1.72799e+09,41.381
1.72799e+09,40.6905
1.72799e+09,40.2143
1.72799e+09,40
1.72799e+09,39.5476
1.72799e+09,39.5
1.72799e+09,38.881
1.72799e+09,38.5
1.728e+09,38.119
1.72801e+09,37.9524
1.72801e+09,37.3571
1.72801e+09,37
1.72801e+09,36.619
1.72801e+09,36.3095
1.72801e+09,35.6905
1.72801e+09,35.2857
1.72801e+09,34.4048
1.72801e+09,33.7619
1.72801e+09,33.119
1.72801e+09,32.2619
1.72801e+09,31.5952
1.72801e+09,31.2857
1.72801e+09,30.7857
1.72801e+09,30.5
1.72801e+09,30.2143
1.72802e+09,29.881
1.72802e+09,29.2619
1.72802e+09,28.6667
1.72802e+09,28.5
1.72804e+09,96.4286
1.72804e+09,95.5238
1.72804e+09,94.5238
1.72804e+09,94.4762
1.72804e+09,94
1.72804e+09,94
1.72804e+09,94
1.72804e+09,93.5
1.72804e+09,92.9762
1.72804e+09,92.5714
1.72804e+09,92.5
1.72804e+09,92.2381
1.72804e+09,91.5714
1.72804e+09,89.2619
1.72804e+09,87.2857
1.72804e+09,86.9524
1.72804e+09,86.2857
1.72804e+09,86
1.72804e+09,85.5714
1.72804e+09,85.3571
1.72804e+09,84.4762
1.72804e+09,82.2619
1.72804e+09,81.4286
1.72805e+09,81
1.72805e+09,80.9524
1.72805e+09,80.5
1.72805e+09,80.3571
1.72805e+09,80
1.72805e+09,79.7143
1.72805e+09,89.7857
1.72805e+09,92.4048
1.72805e+09,91.6905
1.72805e+09,91.0714
1.72805e+09,91
1.72805e+09,91
1.72806e+09,90.3333
1.72806e+09,89.4286
1.72806e+09,88.2619
1.72806e+09,87.4286
1.72806e+09,86.8095
1.72806e+09,86.0476
1.72806e+09,85.5
1.72806e+09,85.1667
1.72806e+09,85
1.72808e+09,84.8571
1.72808e+09,84.4524
1.72808e+09,84.2381
1.72808e+09,83.8571
1.72808e+09,83.5
1.72808e+09,83.5
1.72808e+09,79.0952
1.72808e+09,83
1.72808e+09,82.8333
1.72808e+09,82.5
1.72808e+09,82.2381
1.72808e+09,81.7857
1.72808e+09,81.381
1.72808e+09,81
1.72808e+09,80.5952
1.72809e+09,80.3571
1.72809e+09,80
1.72809e+09,79.6429
1.72809e+09,79.1905
1.72809e+09,78.7619
1.72809e+09,78.4524
1.72809e+09,78.2143
1.72809e+09,77.8333
1.72809e+09,77.5
1.72809e+09,77.5
1.72809e+09,77.5
1.72809e+09,77.5
1.72809e+09,77
1.72809e+09,77
1.72809e+09,77
1.72809e+09,77
1.72809e+09,77
1.72809e+09,77
1.72809e+09,76.5714
1.72809e+09,76.0952
1.72809e+09,75.8333
1.72809e+09,75.5
1.72809e+09,75.4286
1.7281e+09,75
1.7281e+09,74.7143
1.7281e+09,74.5
1.7281e+09,74.5
1.7281e+09,74.3095
1.7281e+09,74
1.7281e+09,74
1.7281e+09,74
1.7281e+09,73.4048
1.7281e+09,72.5952
1.7281e+09,72.0476
1.7281e+09,71.5714
1.7281e+09,71.5
1.7281e+09,71.4286
1.7281e+09,71.0952
1.7281e+09,70.9524
1.7281e+09,70.5
1.7281e+09,70.5
1.7281e+09,70.0714
