Time,SoC
1.72805e+09,356.965
1.72805e+09,350.462
1.72805e+09,343.781
1.72805e+09,341.927
1.72805e+09,339.781
1.72805e+09,340.5
1.72805e+09,344.15
1.72805e+09,345.219
1.72805e+09,345.258
1.72806e+09,345.323
1.72806e+09,345.669
1.72806e+09,344.308
1.72806e+09,341.219
1.72806e+09,340.938
1.72806e+09,341.808
1.72806e+09,344.238
1.72806e+09,343.715
1.72806e+09,344.254
1.72806e+09,345.523
1.72806e+09,345.108
1.72806e+09,344.219
1.72806e+09,344.177
1.72806e+09,344.512
1.72806e+09,345.054
1.72806e+09,344.231
1.72806e+09,343.15
1.72806e+09,344.727
1.72807e+09,345.1
1.72807e+09,345.327
1.72807e+09,344.385
1.72807e+09,343.277
1.72807e+09,343.285
1.72807e+09,344.4
1.72808e+09,344.719
1.72808e+09,342.938
1.72808e+09,345.919
1.72809e+09,344.027
1.72809e+09,343.888
1.72809e+09,344.45
1.72809e+09,342.588
1.72809e+09,339.819
1.72809e+09,339.496
1.72809e+09,340.954
1.72809e+09,342.75
1.72809e+09,344.119
1.72809e+09,339.131
1.72809e+09,337.777
1.72809e+09,340.985
1.72809e+09,342.015
1.72809e+09,342.369
1.72809e+09,347.008
1.72809e+09,347.988
1.72809e+09,348.45
1.72809e+09,348.723
1.72809e+09,348.881
1.72809e+09,349.038
1.72809e+09,349.165
1.72809e+09,349.292
1.72809e+09,349.438
1.72809e+09,349.573
1.72809e+09,349.738
1.72809e+09,349.335
1.72811e+09,346.7
1.72817e+09,346.7
1.72822e+09,345.354
1.72823e+09,342.108
1.72823e+09,342.677
1.72823e+09,339.308
1.72823e+09,338.119
1.72823e+09,340.615
1.72823e+09,340.796
1.72823e+09,343.223
1.72823e+09,344.965
1.72823e+09,342.308
1.72823e+09,340.231
1.72823e+09,341.6
1.72823e+09,341.519
1.72823e+09,340.904
1.72823e+09,340.038
1.72823e+09,338.688
1.72823e+09,341.6
1.72824e+09,344.035
1.72824e+09,341.881
1.72824e+09,339.038
1.72824e+09,337.742
1.72824e+09,337.177
1.72824e+09,338.708
1.72824e+09,341.312
1.72824e+09,340.431
1.72824e+09,340.231
1.72824e+09,337.935
1.72824e+09,338.45
1.72825e+09,340.381
1.72825e+09,340.388
1.72825e+09,339.842
1.72825e+09,339.396
1.72825e+09,338.877
1.72825e+09,339.915
1.72826e+09,341.612
1.72826e+09,337.588
1.72826e+09,337.731
1.72826e+09,338.842
1.72826e+09,339.912
1.72826e+09,339.738
1.72826e+09,336.138
1.72826e+09,336.377
1.72826e+09,338.165
1.72826e+09,339.788
1.72826e+09,340.365
1.72826e+09,341.223
1.72826e+09,339.304
1.72826e+09,338.35
1.72826e+09,337.112
1.72826e+09,337.308
1.72827e+09,339.823
1.72827e+09,336.246
1.72827e+09,334.15
1.72827e+09,337.881
1.72827e+09,338.677
1.72827e+09,339.658
1.72827e+09,340.212
1.72827e+09,340.335
1.72827e+09,340.535
1.72827e+09,340.6
1.72827e+09,340.915
1.72827e+09,340.919
1.72827e+09,340.8
1.72827e+09,340.781
1.72827e+09,340.796
1.72827e+09,340.842
1.72827e+09,340.915
1.72827e+09,340.977
1.72827e+09,340.842
1.72827e+09,340.912
1.72827e+09,340.831
1.72827e+09,340.173
1.72827e+09,339.031
1.72827e+09,334
1.72827e+09,332.958
1.72827e+09,335.696
1.72827e+09,335.269
1.72827e+09,338.081
1.72827e+09,341.242
1.72827e+09,342.312
1.72827e+09,343.15
1.72827e+09,343.831
1.72827e+09,344.342
1.72827e+09,344.75
1.72827e+09,345.127
1.72827e+09,345.492
1.72827e+09,345.835
1.72827e+09,346.085
1.72827e+09,346.254
1.72827e+09,346.354
1.72827e+09,346.419
1.72827e+09,346.496
1.72827e+09,346.508
1.72828e+09,346.562
1.72828e+09,346.6
1.72828e+09,346.6
1.72828e+09,346.6
1.72828e+09,346.6
1.72828e+09,346.631
1.72828e+09,346.646
1.72828e+09,346.665
1.72828e+09,346.692
1.72828e+09,346.7
1.72828e+09,346.7
1.72828e+09,346.7
1.72828e+09,346.7
1.72828e+09,346.723
1.72828e+09,346.785
1.72828e+09,346.8
1.72828e+09,346.8
1.72828e+09,346.842
1.72828e+09,346.896
1.72828e+09,346.904
1.72828e+09,346.988
1.72828e+09,347
1.72828e+09,347.046
1.72828e+09,347.1
1.72828e+09,347.142
1.72828e+09,347.2
1.72828e+09,347.262
1.72828e+09,347.308
1.72828e+09,347.404
1.72828e+09,347.485
1.72828e+09,347.562
1.72828e+09,347.654
1.72828e+09,347.773
1.72828e+09,347.908
1.72828e+09,348.05
1.72828e+09,348.231
1.72828e+09,348.423
1.72828e+09,348.681
1.72828e+09,348.985
1.72828e+09,349.327
1.72828e+09,349.65
1.72828e+09,349.931
1.72828e+09,350.142
1.72828e+09,350.265
1.72828e+09,350.331
1.72828e+09,350.4
1.72828e+09,350.4
1.72828e+09,350.4
1.72828e+09,350.4
1.72829e+09,350.4
1.72829e+09,350.4
1.72829e+09,350.4
1.72829e+09,350.4
1.72829e+09,350.4
1.72829e+09,350.415
1.72829e+09,350.423
1.72829e+09,350.469
1.72829e+09,350.496
1.72829e+09,350.5
1.72829e+09,350.5
1.72829e+09,350.5
1.72829e+09,350.554
1.72829e+09,350.585
1.72829e+09,350.6
1.72829e+09,350.6
1.72829e+09,350.6
1.72829e+09,350.619
1.72829e+09,350.688
1.72829e+09,350.7
1.72829e+09,350.7
1.72829e+09,350.723
1.72829e+09,350.785
1.72829e+09,350.8
1.72829e+09,350.815
1.72829e+09,350.888
1.72829e+09,350.9
1.72829e+09,350.9
1.72829e+09,350.969
1.72829e+09,351
1.72829e+09,351.008
1.72829e+09,351.069
1.72829e+09,351.1
1.72829e+09,351.135
1.72829e+09,351.2
1.72829e+09,351.25
1.72829e+09,351.3
1.72829e+09,351.346
1.72829e+09,351.4
1.72829e+09,351.488
1.72829e+09,351.535
1.72829e+09,351.615
1.72829e+09,351.712
1.72829e+09,351.8
1.72829e+09,351.915
1.72829e+09,352.046
1.72829e+09,352.212
1.72829e+09,352.415
1.72829e+09,352.688
1.7283e+09,353.065
1.7283e+09,353.635
1.7283e+09,354.715
1.7283e+09,357.477
1.72834e+09,345.504
1.72835e+09,342.146
1.72835e+09,343.927
1.72835e+09,343.919
1.72835e+09,342.988
1.72835e+09,343.881
1.72835e+09,343.631
1.72835e+09,345.096
1.72835e+09,342.973
1.72835e+09,343.158
1.72835e+09,343.604
1.72835e+09,341.685
1.72835e+09,340.273
1.72835e+09,343.481
1.72835e+09,344.219
1.72835e+09,344.962
1.72835e+09,345.181
1.72835e+09,341.354
1.72835e+09,339.438
1.72835e+09,340.658
1.72835e+09,342.035
1.72835e+09,342.55
1.72835e+09,346.119
1.72835e+09,347.888
1.72835e+09,348.438
1.72835e+09,348.8
1.72835e+09,349.115
1.72835e+09,349.365
1.72836e+09,349.577
1.72836e+09,349.746
1.72836e+09,349.888
1.72836e+09,350.027
1.72836e+09,350.142
1.72836e+09,350.254
1.72836e+09,350.315
1.72836e+09,350.392
1.72836e+09,350.4
1.72836e+09,350.4
1.72836e+09,350.4
1.72836e+09,350.388
1.72836e+09,350.388
1.72836e+09,350.392
1.72836e+09,350.4
1.72836e+09,350.4
1.72836e+09,350.404
1.72836e+09,350.465
1.72836e+09,350.5
1.72836e+09,350.519
1.72836e+09,350.6
1.72836e+09,350.6
1.72836e+09,350.646
1.72836e+09,350.7
1.72836e+09,350.746
1.72836e+09,350.8
1.72836e+09,350.85
1.72836e+09,350.9
1.72836e+09,350.942
1.72836e+09,351
1.72836e+09,351.038
1.72836e+09,351.112
1.72836e+09,351.2
1.72836e+09,351.281
1.72836e+09,351.373
1.72836e+09,351.477
1.72836e+09,351.615
1.72836e+09,351.765
1.72836e+09,351.977
1.72836e+09,352.312
1.72836e+09,353
1.72836e+09,355.881
1.72837e+09,354.104
1.7284e+09,350.862
1.7284e+09,343.631
1.7284e+09,344.265
1.7284e+09,345.496
1.7284e+09,345.408
1.7284e+09,345.4
1.7284e+09,345.4
1.7284e+09,345.396
1.7284e+09,344.608
1.7284e+09,344.242
1.72841e+09,343.315
1.72841e+09,342.346
1.72841e+09,343.119
1.72841e+09,343.492
1.72841e+09,344.512
1.72841e+09,344.408
1.72841e+09,345.108
1.72841e+09,345.277
1.72841e+09,345.635
1.72841e+09,344.038
1.72841e+09,343.912
1.72841e+09,342.946
1.72841e+09,344.777
1.72841e+09,345.169
1.72842e+09,346.038
1.72842e+09,344.935
1.72842e+09,342.573
1.72842e+09,343.665
1.72842e+09,344.712
1.72842e+09,343.715
1.72842e+09,343.546
1.72842e+09,344.281
1.72842e+09,345.192
1.72842e+09,345.658
1.72842e+09,343.581
1.72842e+09,342.512
1.72842e+09,344.558
1.72843e+09,345.946
1.72843e+09,344.469
1.72843e+09,343.823
1.72843e+09,343.704
1.72843e+09,343.123
1.72843e+09,343.508
1.72843e+09,344.612
1.72843e+09,345.065
1.72849e+09,347.431
1.72853e+09,350.981
1.72853e+09,351.065
1.72853e+09,351.123
1.72853e+09,351.208
1.72853e+09,351.288
1.72853e+09,351.392
1.72853e+09,351.5
1.72853e+09,351.635
1.72853e+09,351.8
1.72853e+09,352.038
1.72853e+09,352.435
1.72853e+09,353.438
1.72853e+09,356.346
1.72853e+09,354.404
1.72856e+09,352.715
1.72857e+09,347.185
1.72857e+09,343.219
1.72858e+09,345.642
1.72858e+09,345.365
1.72858e+09,343.938
1.72858e+09,343.504
1.72858e+09,342.423
1.72858e+09,344.277
1.72858e+09,343.977
1.72858e+09,345.035
1.72858e+09,344.323
1.72858e+09,343.738
1.72858e+09,343.842
1.72858e+09,343.146
1.72858e+09,345.004
1.72858e+09,345.492
1.72858e+09,345.638
1.72858e+09,345.654
1.72858e+09,346.058
1.72859e+09,345.542
1.72859e+09,342.854
1.72859e+09,343.696
1.72859e+09,344.558
1.72859e+09,345.015
1.72859e+09,345.908
1.72859e+09,343.131
1.72859e+09,343.746
1.72859e+09,344.488
1.72859e+09,344.938
1.72859e+09,345.092
1.72859e+09,343.85
1.72859e+09,342.458
1.72859e+09,344.527
1.72859e+09,345.177
1.72859e+09,345.104
1.72859e+09,345.165
1.7286e+09,345.369
