Time,SoC
-1,358.7
-1,358.7
-1,356.6
-1,356.4
-1,358.1
-1,354.1
-1,352.8
-1,353
-1,352.1
-1,352.6
-1,352
-1,351.6
-1,349.7
-1,348.3
-1,350.4
-1,348
-1,350
-1,349.6
-1,349.9
-1,349.9
-1,349.8
-1,349.7
-1,349.6
-1,349.9
-1,349.4
-1,348.2
-1,347.3
-1,348.2
-1,347.1
-1,346.7
-1,343.1
-1,339.6
-1,341.3
-1,339.6
-1,334.7
-1,336.8
-1,332.7
-1,337.4
-1,337.9
-1,337.3
-1,338.3
-1,337.8
-1,335.4
-1,324.2
-1,333.8
-1,334.6
-1,334.7
-1,334.6
-1,334.4
-1,334.4
-1,334.3
-1,334
-1,332.5
-1,325.6
-1,328.4
-1,331.4
-1,330.6
-1,329.6
-1,326.9
-1,329.1
-1,328.7
-1,327
-1,345.7
-1,341.2
-1,344.6
-1,344
-1,343.9
-1,341.1
-1,333.9
-1,336.2
-1,336.7
-1,336.6
-1,333.3
-1,334.9
-1,334.2
-1,332.1
-1,335.3
-1,330.3
-1,333.3
-1,332.7
-1,331.2
-1,374.4
-1,374.9
-1,372.7
-1,373.6
-1,373
-1,371.4
-1,371.5
-1,372.6
-1,372.4
-1,368
-1,370.5
-1,371.6
-1,371.5
-1,365.9
-1,371.2
-1,370.8
-1,370
-1,369.1
-1,366
-1,365.1
-1,364.8
-1,364.3
-1,362.6
-1,362.5
-1,361.8
-1,364.9
-1,363.2
-1,364.1
-1,364
-1,364
-1,364
-1,362.5
-1,365
-1,362.5
-1,362.7
-1,353.4
-1,354.7
-1,353.9
-1,358.1
-1,356.7
-1,356.9
-1,356.8
-1,355.6
-1,355.6
-1,353.4
-1,356.7
-1,354.8
-1,356.2
-1,352.4
-1,355.1
-1,352.2
-1,348.5
-1,352.1
-1,351.1
-1,348.4
-1,349.9
-1,350.9
-1,350.3
-1,350.7
-1,348.6
-1,349.4
-1,349.5
-1,343.9
-1,349.1
-1,348.6
-1,348.6
-1,348.6
-1,346.2
-1,347.9
-1,349.4
-1,345.5
-1,344.7
-1,343.2
-1,340.2
-1,341.9
-1,340.8
-1,340.3
-1,339.6
-1,337.3
-1,337.8
-1,337
-1,337.4
-1,337.4
-1,336.5
-1,336
-1,335.8
-1,333.8
-1,332.8
-1,334.2
-1,333.7
-1,337
-1,333.5
-1,333.8
-1,333.6
-1,333.6
-1,333.5
-1,333.6
-1,332.1
-1,329.4
-1,327.4
-1,326.5
-1,324.6
-1,328.7
-1,327.1
-1,325.6
-1,324.7
-1,329.5
-1,328.2
-1,328.3
-1,328.2
-1,328.2
-1,332.8
-1,327.3
-1,327.8
-1,322.7
-1,327.2
-1,322
-1,322
-1,324.3
-1,323.3
-1,325.5
-1,322.4
-1,321.2
-1,323.8
-1,327.1
-1,323.7
-1,324.2
-1,324.2
-1,324.9
-1,324.6
-1,324.1
-1,324.4
-1,321.9
-1,323.8
-1,323.6
-1,318.4
-1,322.1
-1,320.2
-1,323.8
-1,322
-1,317.7
-1,316.7
-1,320
-1,320.4
-1,320
-1,320.3
-1,320.7
-1,320.5
-1,319.6
-1,318.4
-1,377.3
-1,372.1
-1,372
-1,371.9
-1,370.7
-1,370.6
-1,370.5
-1,359.9
-1,354.6
-1,355.7
-1,358.7
-1,359.1
-1,363.4
-1,359.8
-1,362.9
-1,362.9
-1,357.4
-1,361.4
-1,358.2
-1,358
-1,358.3
-1,358.2
-1,357.7
-1,357
-1,352.1
-1,372.9
-1,371.9
-1,369.3
-1,369.1
-1,364.6
-1,366.5
-1,358.4
-1,363.1
-1,362.5
-1,361.4
-1,358.8
-1,360.4
-1,360.4
-1,360.4
-1,360
-1,360.3
-1,357.5
-1,355.4
-1,361
-1,358
-1,357.8
-1,357
-1,353
-1,358.1
-1,357.3
-1,356.7
-1,355.9
-1,355.9
-1,356.9
-1,355.3
-1,351.3
-1,356.8
-1,354.6
-1,354.6
-1,354.5
-1,354.5
-1,354.5
-1,354.2
-1,354.1
-1,353.9
-1,352.9
-1,354.4
-1,352.8
-1,354.3
-1,353.5
-1,353.2
-1,352.9
-1,351.3
-1,350.9
-1,351.9
-1,351.9
-1,352.7
-1,351.5
-1,351.3
-1,348.8
-1,349.7
-1,347.1
-1,348.7
-1,348.7
-1,348.6
-1,347.5
-1,338.3
-1,344.4
-1,345.4
-1,345.6
-1,345
-1,333.2
-1,334.2
-1,340.3
-1,338.2
-1,335.5
-1,338.2
-1,335.1
-1,334.1
-1,336.4
-1,335.1
-1,330.2
-1,331.9
-1,328.6
-1,330.4
-1,330.9
-1,330.5
-1,329
-1,328.7
-1,325.2
-1,324.4
-1,324.5
