Time,SoC
1.72771e+09,34.6
1.72771e+09,3.1
1.72771e+09,3.8
1.72771e+09,40.1
1.72771e+09,-4
1.72771e+09,3
1.72771e+09,32.9
1.72771e+09,23
1.72771e+09,3.9
1.72771e+09,9.3
1.72771e+09,3.3
1.72771e+09,16.5
1.72771e+09,-34.8
1.72771e+09,-74.2
1.72771e+09,7.4
1.72771e+09,4.1
1.72771e+09,23.2
1.72771e+09,-53.1
1.72771e+09,-82.2
1.72771e+09,6.4
1.72773e+09,2.3
1.72773e+09,1.9
1.72773e+09,3.2
1.72773e+09,4.8
1.72773e+09,2
1.72774e+09,-7.1
1.72774e+09,105.6
1.72774e+09,24.4
1.72774e+09,-25.7
1.72774e+09,70.5
1.72774e+09,-76.4
1.72774e+09,19
1.72774e+09,51.5
1.72774e+09,-86.1
1.72774e+09,2.3
1.72774e+09,27.5
1.72774e+09,75.1
1.72774e+09,3.1
1.72774e+09,66
1.72774e+09,2.1
1.72774e+09,-25.4
1.72774e+09,-3
1.72774e+09,18.1
1.72774e+09,138.3
1.72774e+09,-105.1
1.72774e+09,2.8
1.72774e+09,2
1.72774e+09,2.5
1.72774e+09,2.4
1.72774e+09,2.3
1.72774e+09,4.9
1.72774e+09,7.2
1.72774e+09,46
1.72774e+09,-24
1.72774e+09,-46.7
1.72774e+09,5.6
1.72774e+09,28.4
1.72774e+09,-81.9
1.72774e+09,2.8
1.72774e+09,24.3
1.72775e+09,-61
1.72775e+09,-1.1
1.72775e+09,2.6
1.72775e+09,7.3
1.72775e+09,2.5
1.72775e+09,140.4
1.72775e+09,32.5
1.72775e+09,28.9
1.72775e+09,7
1.72775e+09,48.5
1.72775e+09,2.6
1.72775e+09,2.4
1.72775e+09,2.4
1.72775e+09,38.5
1.72775e+09,36.1
1.72775e+09,-20
1.72775e+09,18.3
1.72775e+09,43.9
1.72775e+09,16.7
1.72775e+09,76.1
1.72775e+09,38.1
1.72775e+09,-62.2
1.72775e+09,1.8
1.72775e+09,23.1
1.72775e+09,2.1
1.72776e+09,5.8
1.72776e+09,24
1.72776e+09,1.2
1.72776e+09,-33.3
1.72776e+09,35.6
1.72776e+09,26.9
1.72776e+09,26.9
1.72776e+09,32.9
1.72776e+09,59.6
1.72776e+09,22.1
1.72776e+09,5.4
1.72776e+09,2.7
1.7278e+09,1.7
1.7278e+09,3.5
1.7278e+09,0.9
1.7278e+09,2
1.7278e+09,-1.1
1.7278e+09,-65.8
1.7278e+09,92.4
1.7278e+09,1.7
1.7278e+09,0.4
1.7278e+09,29
1.7278e+09,1.7
1.7278e+09,0.8
1.7278e+09,-10.2
1.7278e+09,59.7
1.7278e+09,-29.6
1.7278e+09,1.9
1.7278e+09,20.2
1.7278e+09,28.4
1.7278e+09,-37.3
1.7278e+09,-8.2
1.7278e+09,22.5
1.7278e+09,0.5
1.7278e+09,1.7
1.7278e+09,0.5
1.72785e+09,3.3
1.72785e+09,3.7
1.72785e+09,48.6
1.72785e+09,50.1
1.72786e+09,26.4
1.72786e+09,-77.6
1.72786e+09,1.3
1.72786e+09,-49.2
1.72786e+09,43.9
1.72787e+09,4.5
1.72787e+09,60.7
1.72787e+09,3.2
1.72787e+09,73.8
1.72787e+09,-54.8
1.72787e+09,0.6
1.72787e+09,1.8
1.72787e+09,23.4
1.72788e+09,3.1
1.72788e+09,-38.1
1.72788e+09,2.1
1.72788e+09,3
1.72788e+09,-1.1
1.72789e+09,-26.5
1.72789e+09,-25.9
1.72789e+09,0.2
1.72789e+09,160.2
1.72789e+09,79.5
1.72789e+09,1.8
1.72789e+09,9.5
1.72789e+09,-11.5
1.72789e+09,11.3
1.72792e+09,-18.8
1.72792e+09,20.4
1.72792e+09,-5.8
1.72792e+09,1.2
1.72792e+09,-0.2
1.72792e+09,2.8
1.72792e+09,2.7
1.72792e+09,2.8
1.72792e+09,48
1.72792e+09,2.5
1.72792e+09,2.6
1.72792e+09,2.4
1.72792e+09,2.5
1.72792e+09,2.6
1.72792e+09,-13.5
1.72792e+09,20.7
1.72792e+09,3.6
1.72793e+09,19
1.72793e+09,-8.8
1.72793e+09,80.8
1.72793e+09,121.5
1.72793e+09,72.4
1.72793e+09,21.3
1.72793e+09,41.8
1.72793e+09,29.9
1.72793e+09,53
1.72793e+09,26.3
1.72793e+09,31.7
1.72793e+09,5.4
1.72793e+09,2.7
1.72793e+09,58.1
1.72794e+09,4.9
1.72794e+09,-8.3
1.72794e+09,-20.8
1.72794e+09,1.4
1.72795e+09,3.6
1.72795e+09,37.7
1.72795e+09,105.2
1.72795e+09,6
1.72795e+09,15.2
1.72795e+09,2.3
1.72795e+09,-16.4
1.72795e+09,18.3
1.72795e+09,72.7
1.72795e+09,24.8
1.72795e+09,46.8
1.72795e+09,40.8
1.72795e+09,75.3
1.72795e+09,45.8
1.72795e+09,82.3
1.72795e+09,9.6
1.72795e+09,-18.1
1.72798e+09,3.4
1.72798e+09,4.5
1.72798e+09,4
1.72798e+09,3.9
1.72798e+09,2.2
1.72798e+09,-6.9
1.72798e+09,55.1
1.72798e+09,-36.5
1.72798e+09,3.3
1.72799e+09,1.4
1.72799e+09,81.8
1.72799e+09,-53.2
1.72799e+09,51.5
1.72799e+09,-50.6
1.72799e+09,20.3
1.72799e+09,73.7
1.72799e+09,35.5
1.72799e+09,5.7
1.72799e+09,15.5
1.72799e+09,-5.9
1.72799e+09,-32.8
1.72799e+09,1.3
1.72801e+09,-76.9
1.72801e+09,-4.8
1.72801e+09,4
1.72801e+09,15.4
1.72801e+09,3.5
1.72801e+09,18.1
1.72801e+09,-14.6
1.72801e+09,82.9
1.72801e+09,-53
1.72801e+09,17.5
1.72801e+09,24.8
1.72801e+09,49.7
1.72801e+09,-27.1
1.72801e+09,-35
1.72801e+09,3.8
1.72802e+09,3.8
1.72802e+09,27.7
1.72804e+09,0
1.72804e+09,3.6
1.72804e+09,3
1.72804e+09,3.1
1.72804e+09,1.9
1.72804e+09,1.9
1.72804e+09,1.9
1.72804e+09,22.7
1.72804e+09,9.5
1.72804e+09,1.7
1.72804e+09,-23.2
1.72804e+09,72.8
1.72804e+09,5.5
1.72804e+09,-136.5
1.72804e+09,2.7
1.72804e+09,-5.5
1.72804e+09,-18.2
1.72804e+09,72.9
1.72804e+09,27.7
1.72804e+09,3.8
1.72804e+09,3.5
1.72805e+09,1.4
1.72805e+09,38.9
1.72805e+09,30.5
1.72805e+09,1.7
1.72805e+09,48.3
1.72805e+09,6
1.72805e+09,2.9
1.72805e+09,2.7
1.72805e+09,2.8
1.72805e+09,2.8
1.72806e+09,-13.2
1.72806e+09,2.9
1.72806e+09,31.3
1.72806e+09,6.7
1.72806e+09,2
